name,pa_url,source_url,org_category,org_classification,popit_id
NCOP Trade and International Relations,http://www.pa.org.za/organisation/ncop-trade-and-international-relations/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/210,political,Ncop Committees,za.org.pa.www/core_organisation/210
"NCOP Women, Children and People with Disabilities",http://www.pa.org.za/organisation/ncop-women-children-and-people-with-disabilities/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/211,political,Ncop Committees,za.org.pa.www/core_organisation/211
Operational Problems in the Office of the Public Protector,http://www.pa.org.za/organisation/operational-problems-in-the-office-of-the-public-protector/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/213,,Ad Hoc Committees,za.org.pa.www/core_organisation/213
Oversight & Accountability,http://www.pa.org.za/organisation/oversight-accountability/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/214,,Ad Hoc Committees,za.org.pa.www/core_organisation/214
Pan-African Parliament (NA),http://www.pa.org.za/organisation/pan-african-parliament-na/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/215,,Ad Hoc Committees,za.org.pa.www/core_organisation/215
Petitions Committee,http://www.pa.org.za/organisation/petitions-committee/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/691,political,Western-Cape-Provincial-Legislature-Committee,za.org.pa.www/core_organisation/691
PMLPPP Committee,http://www.pa.org.za/organisation/pmlppp-committee/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/745,political,Kwazulu-Natal-Provincial-Legislature-Committee,za.org.pa.www/core_organisation/745
Police,http://www.pa.org.za/organisation/police/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/216,political,National Assembly Committees,za.org.pa.www/core_organisation/216
"Portfolio Committee On Agriculture, Forestry and Fisheries",http://www.pa.org.za/organisation/portfolio-committee-on-agriculture-forestry-and-fisheries/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/111,political,Committee,za.org.pa.www/core_organisation/111
Portfolio Committee On Arts and Culture,http://www.pa.org.za/organisation/portfolio-committee-on-arts-and-culture/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/110,political,Committee,za.org.pa.www/core_organisation/110
