SourceName,Role,TargetName
KPMG INCORPORATED,Audit Firm,TRENCOR LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,TRENCOR LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,TRENCOR LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,TRUSTCO GROUP HOLDINGS LIMITED
Sasfin Bank Ltd,Sponsor,TRUSTCO GROUP HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,TRUSTCO GROUP HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,TSOGO SUN HOLDINGS LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,TSOGO SUN HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,TSOGO SUN HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,UNITRANS SERVICES (PTY) LIMITED
BAKER TILLY SVG,Audit Firm,VALUE GROUP LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,VALUE GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,VALUE GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,Vukile Investments Property Securisation (Pty) Ltd
KPMG INCORPORATED,Audit Firm,VERIMARK HOLDINGS LIMITED
GRINDROD BANK LIMITED,Sponsor,VERIMARK HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,VERIMARK HOLDINGS LIMITED
GRANT THORNTON,Audit Firm,VUKILE PROPERTY FUND LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,VUKILE PROPERTY FUND LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,VUKILE PROPERTY FUND LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,VUKILE PROPERTY FUND LIMITED
KPMG INCORPORATED,Audit Firm,VUNANI PROPERTY INVESTMENT FUND LTD
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,VUNANI PROPERTY INVESTMENT FUND LTD
Vunani Corporate Finance (Pty) Ltd,Sponsor,VUNANI PROPERTY INVESTMENT FUND LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,VUNANI PROPERTY INVESTMENT FUND LTD
BDO SOUTH AFRICA INCORPORATED,Audit Firm,WINHOLD LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,WINHOLD LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,WINHOLD LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,WESCOAL HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,WESCOAL HOLDINGS LIMITED
Bridge Capital Advisors  (Pty) Ltd,Sponsor,ZCI LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ZCI LIMITED
