SourceName,Role,TargetName
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BRITISH AMERICAN TOBACCO PLC
Transfer Secretaries,Transfer Secretary,BLUE DIAMOND INVEST NO 3 (PTY) LTD
KPMG INCORPORATED,Audit Firm,BUSINESS CONNEXION GROUP LIMITED
ONE CAPITAL (Pty) Ltd,Sponsor,BUSINESS CONNEXION GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BUSINESS CONNEXION GROUP LIMITED
GRANT THORNTON,Audit Firm,BUILDMAX LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CAFCA LIMITED
Transfer Secretaries,Transfer Secretary,CALGRO M3 DEVELOPMENTS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,CADIZ HOLDINGS LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,CADIZ HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CADIZ HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,CALYON CORPORATE & INVESTMENT BANK
PRICEWATERHOUSECOOPERS INC,Audit Firm,CALGRO M3 HOLDINGS LIMITED
GRINDROD BANK LIMITED,Designated Advisor,CALGRO M3 HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CALGRO M3 HOLDINGS LIMITED
GRANT THORNTON,Audit Firm,CAMAC ENERGY INCORPORATED
Link Market Services SA (Pty) Ltd,Transfer Secretary,CAMAC ENERGY INCORPORATED
PRICEWATERHOUSECOOPERS INC,Audit Firm,CAPEVIN HOLDINGS LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,CAPEVIN HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CAPEVIN HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,CAPITAL PROPERTY FUND
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,CAPITAL PROPERTY FUND
Link Market Services SA (Pty) Ltd,Transfer Secretary,CAPITAL PROPERTY FUND
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CAPITEC BANK HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,CAPITEC BANK HOLDINGS LIMITED
PSG Capital Ltd,Sponsor,CAPITEC BANK HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CAPITEC BANK HOLDINGS LIMITED
ERNST & YOUNG INC,Audit Firm,CARGO CARRIERS LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,CARGO CARRIERS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CARGO CARRIERS LIMITED
Transfer Secretaries,Transfer Secretary,CAPITAL PROPERTY FUND
PKF SOUTH AFRICA,Audit Firm,CAXTON CTP PUBLISHERS & PRINTERS LD
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,CAXTON CTP PUBLISHERS & PRINTERS LD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CAXTON CTP PUBLISHERS & PRINTERS LD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CENTRAL RAND GOLD LIMITED
KPMG INCORPORATED,Audit Firm,CHEMICAL SPECIALITIES LIMITED
GRINDROD BANK LIMITED,Designated Advisor,CHEMICAL SPECIALITIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CHEMICAL SPECIALITIES LIMITED
RSM BETTY & DICKSON,Audit Firm,CHROMETCO LIMITED
Sasfin Bank Ltd,Designated Advisor,CHROMETCO LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CHROMETCO LIMITED
DELOITTE & TOUCHE,Audit Firm,BELL EQUIPMENT LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,BELL EQUIPMENT LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,BELL EQUIPMENT LIMITED
KPMG INCORPORATED,Audit Firm,CITY LODGE HOTELS LIMITED
JP Morgan Equities Ltd,Sponsor,CITY LODGE HOTELS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CITY LODGE HOTELS LIMITED
Merrill Lynch SA (Pty) Limited,Sponsor,CAPITAL & COUNTIES PROPERTIES PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CAPITAL & COUNTIES PROPERTIES PLC
BDO SOUTH AFRICA INCORPORATED,Audit Firm,BAUBA PLATINUM LIMITED
MERCHANTEC CAPITAL,Sponsor,BAUBA PLATINUM LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BAUBA PLATINUM LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BNP PARIBAS ARBITRAGE ISSUANCE B.V.
Transfer Secretaries,Transfer Secretary,CITY OF CAPE TOWN METR MUNICIPALITY
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,CITY OF JHB METRO MUNICIPALITY
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CITY OF JHB METRO MUNICIPALITY
Transfer Secretaries,Transfer Secretary,City of Johannesburg Metropolitan Municipality
Transfer Secretaries,Transfer Secretary,CLINDEB INVESTMENTS LIMITED
ERNST & YOUNG INC,Audit Firm,CLICKS GROUP LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,CLICKS GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,CLICKS GROUP LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,COMBINED MOTOR HOLDINGS LIMITED
PricewaterhouseCoopers Corporate Finance (Pty) Ltd,Sponsor,COMBINED MOTOR HOLDINGS LIMITED
